iter	Passed	Remaining
0	37	18633
1	95	23728
2	141	23493
3	202	25144
4	267	26487
5	316	26077
6	355	25056
7	433	26690
8	484	26405
9	530	25984
10	572	25444
11	600	24428
12	625	23441
13	655	22745
14	700	22650
15	737	22323
16	796	22630
17	843	22595
18	872	22075
19	926	22224
20	982	22421
21	1042	22642
22	1080	22409
23	1112	22061
24	1171	22264
25	1212	22106
26	1253	21960
27	1285	21675
28	1321	21459
29	1373	21517
30	1404	21254
31	1428	20894
32	1448	20497
33	1467	20109
34	1489	19792
35	1507	19432
36	1525	19093
37	1548	18823
38	1573	18604
39	1592	18315
40	1611	18044
41	1631	17795
42	1655	17597
43	1675	17359
44	1695	17142
45	1714	16920
46	1736	16740
47	1757	16550
48	1789	16470
49	1818	16367
50	1839	16196
51	1863	16051
52	1895	15986
53	1917	15840
54	1938	15685
55	1967	15602
56	1993	15496
57	2023	15419
58	2048	15309
59	2069	15179
60	2093	15068
61	2120	14977
62	2151	14925
63	2184	14880
64	2240	14992
65	2274	14958
66	2310	14930
67	2346	14908
68	2378	14855
69	2408	14795
70	2437	14728
71	2460	14624
72	2489	14560
73	2514	14475
74	2536	14374
75	2563	14301
76	2591	14238
77	2614	14144
78	2647	14107
79	2673	14034
80	2696	13950
81	2720	13870
82	2747	13802
83	2768	13712
84	2794	13641
85	2821	13583
86	2844	13501
87	2870	13438
88	2891	13351
89	2911	13262
90	2932	13179
91	2950	13086
92	2972	13007
93	2991	12922
94	3015	12853
95	3033	12767
96	3053	12684
97	3078	12627
98	3096	12544
99	3115	12461
100	3133	12377
101	3151	12296
102	3169	12218
103	3190	12146
104	3208	12070
105	3227	11996
106	3246	11923
107	3267	11861
108	3286	11788
109	3304	11714
110	3320	11638
111	3337	11563
112	3355	11492
113	3372	11419
114	3390	11349
115	3409	11286
116	3427	11219
117	3444	11151
118	3465	11094
119	3482	11026
120	3500	10963
121	3520	10908
122	3542	10857
123	3560	10797
124	3577	10733
125	3591	10659
126	3611	10605
127	3628	10545
128	3645	10485
129	3664	10428
130	3676	10354
131	3695	10303
132	3716	10254
133	3727	10180
134	3745	10127
135	3766	10081
136	3782	10023
137	3800	9969
138	3811	9897
139	3829	9846
140	3846	9792
141	3863	9740
142	3881	9690
143	3899	9641
144	3919	9595
145	3942	9559
146	3965	9523
147	3982	9472
148	4000	9423
149	4021	9382
150	4032	9320
151	4050	9272
152	4062	9214
153	4081	9169
